time,lon,lat,u10,v10,cdir,msl,msdwlwrf,r,rainfall,temp
01-01-1979,83,25.5,2.108499414,0.738675102,0,101714.7949,268.373852,73.0597965,0,23.51418686
02-01-1979,83,25.5,0.727655031,1.657429627,0,101803.561,273.2389809,67.70199007,0,23.9089489
03-01-1979,83,25.5,-0.214235589,1.027746648,0,101765.3931,324.0117648,68.00682187,0,24.6122818
04-01-1979,83,25.5,1.17256071,-0.26523228,0,101603.3621,349.4634814,57.64770723,0,25.02592087
05-01-1979,83,25.5,2.129331119,-0.106130887,0,101572.7984,292.0338075,69.21839912,0,24.97122192
06-01-1979,83,25.5,2.488678014,0.79469672,0,101855.6216,277.5255203,67.39199163,0,24.14696884
07-01-1979,83,25.5,0.68896758,-0.41163544,0,101969.6867,287.3739846,79.77642944,0,24.22836494
08-01-1979,83,25.5,2.228281713,-0.330964311,0,101671.5087,289.4954794,81.8146692,0,23.16161919
09-01-1979,83,25.5,2.380799546,0.848477472,0,101517.3745,281.451219,73.55579401,0,24.3703022
10-01-1979,83,25.5,1.930685941,0.384618481,0,101522.7853,298.2365358,74.53745575,0,25.48376274
11-01-1979,83,25.5,1.958213549,0.280044795,0,101700.4637,277.7370477,78.09985452,0,25.51082039
12-01-1979,83,25.5,2.496117908,0.070897424,0,101624.7127,283.0625596,91.88186865,0,24.8837738
13-01-1979,83,25.5,0.751462693,1.294409546,0,101516.6433,282.9630173,85.50365068,0,24.38255692
14-01-1979,83,25.5,-1.485713526,0.839514014,0,101438.6988,282.0671368,83.93815854,0,25.00761223
15-01-1979,83,25.5,-1.875563988,1.476666541,0,101432.703,306.7847291,77.9319387,0,25.43360138
16-01-1979,83,25.5,-1.494641399,1.48861782,0,101708.068,325.8408542,60.97244053,0.26090911,24.74013138
17-01-1979,83,25.5,-0.864482351,-0.030688442,0,101763.1995,330.593998,63.48342792,2.460064411,20.50248337
18-01-1979,83,25.5,0.174870884,-0.868024883,0,101871.7077,342.3462084,93.43444418,1.148588777,23.77399826
19-01-1979,83,25.5,-0.372705338,-0.525919539,0,101790.3997,379.8860906,82.86866391,3.152680397,23.98284721
20-01-1979,83,25.5,-1.876307977,-1.294536129,0,101741.5564,384.6890055,86.53697882,18.71789742,19.91836739
21-01-1979,83,25.5,1.034178676,-0.599121119,0,101799.0277,375.7364218,84.63307172,0,22.64417076
22-01-1979,83,25.5,0.445683036,-1.402844589,0,101874.9249,332.7279357,74.1887075,0,22.57702065
23-01-1979,83,25.5,1.386085677,-0.657383601,0,101965.0071,313.7526886,76.18561414,0,22.86141014
24-01-1979,83,25.5,2.099571541,0.234480546,0,101988.2589,279.5599156,81.04483973,0,23.20343971
25-01-1979,83,25.5,0.68896758,0.799925404,0,102138.5909,282.9319104,79.44318111,0,23.75748825
26-01-1979,83,25.5,2.227537723,0.68340044,0,101744.4811,278.9875475,66.55757915,0,24.89187813
27-01-1979,83,25.5,2.294496772,-0.01350848,0,101253.1235,289.9185341,67.87765586,0,24.61777115
28-01-1979,83,25.5,-0.508111414,0.776022847,0,101054.5331,317.8899146,72.6154654,0.641979694,24.29182816
29-01-1979,83,25.5,-4.115716164,0.053717461,0,100830.3512,360.1704978,81.42717115,7.513199806,24.90891838
30-01-1979,83,25.5,-1.663527,-0.470644877,0,101076.7612,374.8965338,79.51293076,0.743680537,21.7741909
31-01-1979,83,25.5,3.124788977,0.640077056,0,101128.968,297.8321453,70.0269784,0.74897635,23.08316994
01-02-1979,83,25.5,0.971683564,-0.360095552,0,101323.6099,334.1153062,68.01457184,0,22.90413094
02-02-1979,83,25.5,1.68293746,-0.359348597,0,101535.9466,340.2495992,71.12488955,5.893167973,17.53949356
03-02-1979,83,25.5,3.339057933,0.354740285,0,101677.3582,266.8744964,76.02286495,0,21.63469315
04-02-1979,83,25.5,1.926965993,0.832044465,0,101694.6142,264.236626,86.45947921,0,20.95557976
05-02-1979,83,25.5,1.063194264,0.104510394,0,101788.7911,290.5406734,82.53024894,0,21.72327423
